정렬순위,원본구분,원본No,업체명/사이트명,도메인,홈페이지URL,원본출처URL,확인한_매물페이지URL,매물수_추정,매물수_산정근거,응답방식,응답방식_근거,HTTP상태,Content-Type,페이지제목,매물페이지여부,페이지네이션_최대,첫페이지_노출매물수,크롤링_필요정보/전략,요청시도URL,원본_공식성등급,원본_사업품목,원본_대표전화,원본_검토메모,자동확인일
24,원본CSV,95,왕성중장비매매상사,4396200.com,https://blog.naver.com/kycoco456,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=5&search= ; https://blog.daara.co.kr/,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://blog.naver.com/kycoco456 [200] || https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=5&search= [200] || https://blog.daara.co.kr/ [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200] || https://www.daara.co.kr/mypage/products/register.php?lang=ko [200] || https://www.daara.co.kr/mypage/account/wishlist_products.php?lang=ko [200],B-,중장비 매매,0504-3105-1991,"다아라 판매자 정보에서 이메일/담당자 확인, 4396200에서 주소/휴대폰/팩스 확인.",2026-04-29
25,원본CSV,114,월드코리아,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=8&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=8&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,굴삭기 렌탈,,상호명 직접키워드는 약하지만 굴삭기 렌탈 후보.,2026-04-29
26,원본CSV,92,장백건설기계매매상사,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=2 ; https://4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=2 [200] || https://4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200] || https://4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://4396200.com/sub8_1_s.html?cate_code=100101 [200],B-,매매/임대/렌탈/수출,053-759-6365,4396200 다른 페이지에서 팔공중기매매상사로 상호 변경 언급이 있어 확인 필요.,2026-04-29
27,원본CSV,103,중앙건설기계매매상사,4396200.com,https://cafe.naver.com/yhex8969,https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://cafe.naver.com/yhex8969 [200] || https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,미니~초대형 굴삭기 매매/위탁/할부 등,,4396200 검색결과에서 청주 중앙건기매매상사로 설명 확인.,2026-04-29
28,원본CSV,108,지누건기,4396200.com,http://www.jinu02.com,https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://www.jinu02.com [200] || https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,"두산밥캣/얀마 신차, 굴삭기 중고매매, 수출",,4396200 검색결과에서 홈페이지/연락처/주소 확인.,2026-04-29
29,원본CSV,109,태극상사,4396200.com,http://www.dumptruck.co.kr,https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://www.dumptruck.co.kr [ConnectionError: HTTPConnectionPool(host='www.dump] || https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,덤프트럭 관련 및 건설기계매매,,상호명 직접키워드는 아니지만 건설기계매매 문구 확인.,2026-04-29
30,원본CSV,111,한세무역,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=8&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=8&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,건설장비/중고장비 무역·매매 후보,,상호명 직접키워드는 아니지만 건설장비 무역/중고장비 후보. 홈페이지 URL은 검색결과에서 일부만 표시되어 빈값 처리.,2026-04-29
31,원본CSV,104,한진중기매매상사,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,"덤프, 츄레라, 굴삭기 등 건설기계 매입",,기존 “한진중기상사”와 별개 가능성. 주소/전화 기준 별도 관리.,2026-04-29
32,원본CSV,87,현대중장비매매상사,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=2,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=2 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,각종 건설기계 매매·매입·대차·폐차·수출·캐피탈,041-531-2022,전남 순천 동명 업체와 별개 가능성. 주소/전화 기준으로 별도 관리 권장.,2026-04-29
33,원본CSV,79,광성중기매매상사,jigecha.kr,http://www.k4989.net,https://jigecha.kr/kwa-info_site_v-119 ; https://k4989.net,http://jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,http://www.k4989.net [ConnectionError: HTTPConnectionPool(host='www.k498] || https://jigecha.kr/kwa-info_site_v-119 [200] || https://k4989.net [ConnectionError: HTTPSConnectionPool(host='k4989.n] || http://jigecha.kr/kwa-sell_jigecha [200] || http://jigecha.kr/kwa-sell_new [200] || http://jigecha.kr/kwa-sell_new?category_1=C [200] || http://jigecha.kr/kwa-sell_new?category_1=D [200] || http://jigecha.kr/kwa-parts?category_1=I [200] || http://jigecha.kr/kwa-sell_new?category_1=E [200] || http://jigecha.kr/kwa-sell_jigecha?SCH_sido=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C [200],C+,"드릴, 지게차, 크레인, 굴삭기, 트럭 매매",062-944-7230,디렉터리 기반. 휴대폰은 별도 매물/전문가 페이지에 매매상담 번호로 표기되어 담당자 확인 필요.,2026-04-29
34,원본CSV,81,금일중기매매상사,jigecha.kr,http://www.dump4989.co.kr,https://jigecha.kr/kwa-info_site_v-109?PB_1484124041=7,http://jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,http://www.dump4989.co.kr [ConnectionError: HTTPConnectionPool(host='www.dump] || https://jigecha.kr/kwa-info_site_v-109?PB_1484124041=7 [200] || http://jigecha.kr/kwa-sell_jigecha [200] || http://jigecha.kr/kwa-sell_new [200] || http://jigecha.kr/kwa-sell_new?category_1=C [200] || http://jigecha.kr/kwa-sell_new?category_1=D [200] || http://jigecha.kr/kwa-parts?category_1=I [200] || http://jigecha.kr/kwa-sell_new?category_1=E [200] || http://jigecha.kr/kwa-sell_jigecha?SCH_sido=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C [200],C+,"건설기계, 건축폐기물, 굴삭기, 지게차, 덤프, 믹서, 카고트럭",031-848-9957,디렉터리 기반. 상세 주소/대표자/이메일 추가 확인 필요.,2026-04-29
35,원본CSV,63,대구중기매매상사,jigecha.kr,http://www.dglift.co.kr,https://cookiedeal.io/company-search/5131384281/대구중기매매상사 ; https://jigecha.kr/kwa-info_site_v-5,http://jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,http://www.dglift.co.kr [ConnectionError: HTTPConnectionPool(host='www.dgli] || https://cookiedeal.io/company-search/5131384281/대구중기매매상사 [403] || https://jigecha.kr/kwa-info_site_v-5 [200] || http://jigecha.kr/kwa-sell_jigecha [200] || http://jigecha.kr/kwa-sell_new [200] || http://jigecha.kr/kwa-sell_new?category_1=C [200] || http://jigecha.kr/kwa-sell_new?category_1=D [200] || http://jigecha.kr/kwa-parts?category_1=I [200] || http://jigecha.kr/kwa-sell_new?category_1=E [200] || http://jigecha.kr/kwa-sell_jigecha?SCH_sido=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C [200],C+,"운반기계부품/렌탈, 지게차 관련",054-976-8989,기업정보 디렉터리와 지게차 관련 디렉터리에서 전화/홈페이지 확인.,2026-04-29
36,원본CSV,117,대왕중기매매상사,jigecha.kr,http://www.3555202.com,https://jigecha.kr/kwa-info_site_v-139?PB_1484124041=14&pc=p,http://jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,http://www.3555202.com [ConnectionError: HTTPConnectionPool(host='www.3555] || https://jigecha.kr/kwa-info_site_v-139?PB_1484124041=14&pc=p [200] || http://jigecha.kr/kwa-sell_jigecha [200] || http://jigecha.kr/kwa-sell_new [200] || http://jigecha.kr/kwa-sell_new?category_1=C [200] || http://jigecha.kr/kwa-sell_new?category_1=D [200] || http://jigecha.kr/kwa-parts?category_1=I [200] || http://jigecha.kr/kwa-sell_new?category_1=E [200] || http://jigecha.kr/kwa-sell_jigecha?SCH_sido=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C [200],C+,"지게차, 덤프트럭, 굴삭기, 로더, 불도저 등 매물정보",031-355-5202,디렉터리 기반. 대표자/이메일 추가 확인 필요.,2026-04-29
37,원본CSV,78,두산건기매매상사,jigecha.kr,http://www.dsheavy.kr,https://jigecha.kr/kwa-info_site_v-138 ; http://www.dsheavy.kr,http://jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,http://www.dsheavy.kr [200] || https://jigecha.kr/kwa-info_site_v-138 [200] || https://www.dsheavy.kr/about/equipment [200] || https://www.dsheavy.kr/services/parts [200] || http://jigecha.kr/kwa-sell_jigecha [200] || http://jigecha.kr/kwa-sell_new [200] || http://jigecha.kr/kwa-sell_new?category_1=C [200] || http://jigecha.kr/kwa-sell_new?category_1=D [200] || http://jigecha.kr/kwa-parts?category_1=I [200] || http://jigecha.kr/kwa-sell_new?category_1=E [200] || http://jigecha.kr/kwa-sell_jigecha?SCH_sido=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C [200],C+,"덤프트럭, 지게차, 굴삭기, 로더, 중장비 매매",055-338-0441,디렉터리와 매물 페이지 기반. 대표자/휴대폰은 매물 페이지 표기라 역할 확인 필요.,2026-04-29
38,원본CSV,84,성도건설기계매매상사,jigecha.kr,,https://jigecha.kr/kwa-info_site_v-119?PB_1484124041=28&pc=p,http://jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,https://jigecha.kr/kwa-info_site_v-119?PB_1484124041=28&pc=p [200] || http://jigecha.kr/kwa-sell_jigecha [200] || http://jigecha.kr/kwa-sell_new [200] || http://jigecha.kr/kwa-sell_new?category_1=C [200] || http://jigecha.kr/kwa-sell_new?category_1=D [200] || http://jigecha.kr/kwa-parts?category_1=I [200] || http://jigecha.kr/move_url.php?bd=info_site&idx=58 [200] || http://jigecha.kr/kwa-sell_new?category_1=E [200],C,건설기계 매매,054-262-9030,디렉터리 기반. 홈페이지/대표자/이메일 추가 확인 필요.,2026-04-29
39,원본CSV,85,제일중기매매상사,imcg.jigecha.kr,http://www.2236868.com,https://imcg.jigecha.kr/kwa-info_site_v-138?PB_1484124041=7&pc=p,http://imcg.jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,http://www.2236868.com [ConnectionError: HTTPConnectionPool(host='www.2236] || https://imcg.jigecha.kr/kwa-info_site_v-138?PB_1484124041=7&pc=p [200] || http://imcg.jigecha.kr/kwa-sell_jigecha [200] || http://imcg.jigecha.kr/kwa-sell_new [200] || http://imcg.jigecha.kr/kwa-sell_new?category_1=C [200] || http://imcg.jigecha.kr/kwa-sell_new?category_1=D [200] || http://imcg.jigecha.kr/kwa-parts?category_1=I [200] || http://imcg.jigecha.kr/kwa-sell_new?category_1=E [200] || http://imcg.jigecha.kr/kwa-sell_jigecha?SCH_sido=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C [200],C+,"굴삭기, 덤프트럭, 추레라, 믹서트럭, 펌프카, 지게차, 카고트럭",02-488-0204,디렉터리 기반. 대표자/이메일 추가 확인 필요.,2026-04-29
40,원본CSV,118,중기맨,imcg.jigecha.kr,http://www.joonggiman.com,https://imcg.jigecha.kr/kwa-info_site_v-144?PB_1484124041=14&pc=p,http://imcg.jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,http://www.joonggiman.com [ConnectionError: HTTPConnectionPool(host='www.joon] || https://imcg.jigecha.kr/kwa-info_site_v-144?PB_1484124041=14&pc=p [200] || http://imcg.jigecha.kr/kwa-sell_jigecha [200] || http://imcg.jigecha.kr/kwa-sell_new [200] || http://imcg.jigecha.kr/kwa-sell_new?category_1=C [200] || http://imcg.jigecha.kr/kwa-sell_new?category_1=D [200] || http://imcg.jigecha.kr/kwa-parts?category_1=I [200] || http://imcg.jigecha.kr/kwa-sell_new?category_1=E [200] || http://imcg.jigecha.kr/kwa-sell_jigecha?SCH_sido=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C [200],C+,"덤프트럭, 지게차, 굴삭기, 크레인 등 매물정보",,디렉터리 기반. 대표자/이메일 추가 확인 필요.,2026-04-29
41,원본CSV,83,창성중기매매상사,jigecha.kr,,https://jigecha.kr/kwa-info_site_v-127?PB_1484124041=5&pc=p,http://jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,https://jigecha.kr/kwa-info_site_v-127?PB_1484124041=5&pc=p [200] || http://jigecha.kr/kwa-sell_jigecha [200] || http://jigecha.kr/kwa-sell_new [200] || http://jigecha.kr/kwa-sell_new?category_1=C [200] || http://jigecha.kr/kwa-sell_new?category_1=D [200] || http://jigecha.kr/kwa-parts?category_1=I [200] || http://jigecha.kr/move_url.php?bd=info_site&idx=236 [200] || http://jigecha.kr/kwa-sell_new?category_1=E [200],C,"덤프트럭, 물차, 펌프카, 지게차, 카고트럭, 크레인 등",032-561-5227,디렉터리 기반. 홈페이지/대표자/이메일 추가 확인 필요.,2026-04-29
42,원본CSV,82,청룡중장비매매상사,wpjq.jigecha.kr,http://www.cycar114.com,https://wpjq.jigecha.kr/kwa-info_site_v-227?PB_1484124041=4&pc=p,http://wpjq.jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,http://www.cycar114.com [ConnectionError: HTTPConnectionPool(host='www.cyca] || https://wpjq.jigecha.kr/kwa-info_site_v-227?PB_1484124041=4&pc=p [200] || http://wpjq.jigecha.kr/kwa-sell_jigecha [200] || http://wpjq.jigecha.kr/kwa-sell_new [200] || http://wpjq.jigecha.kr/kwa-sell_new?category_1=C [200] || http://wpjq.jigecha.kr/kwa-sell_new?category_1=D [200] || http://wpjq.jigecha.kr/kwa-parts?category_1=I [200] || http://wpjq.jigecha.kr/kwa-sell_new?category_1=E [200] || http://wpjq.jigecha.kr/kwa-sell_jigecha?SCH_sido=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C [200],C+,"굴삭기, 지게차, 덤프트럭 매입/매매",041-855-6585,디렉터리 기반. 대표자/이메일 추가 확인 필요.,2026-04-29
43,원본CSV,80,충남건설기계매매상사,jigecha.kr,http://www.ichungnam.com,https://www.jigecha.kr/kwa-info_site_v-170?pc=p,http://www.jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,http://www.ichungnam.com [ConnectionError: HTTPConnectionPool(host='www.ichu] || https://www.jigecha.kr/kwa-info_site_v-170?pc=p [200] || http://www.jigecha.kr/kwa-sell_jigecha [200] || http://www.jigecha.kr/kwa-sell_new [200] || http://www.jigecha.kr/kwa-sell_new?category_1=C [200] || http://www.jigecha.kr/kwa-sell_new?category_1=D [200] || http://www.jigecha.kr/kwa-parts?category_1=I [200] || http://www.jigecha.kr/kwa-sell_new?category_1=E [200] || http://www.jigecha.kr/kwa-sell_jigecha?SCH_sido=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C [200],C+,"중고 지게차, 굴삭기, 로우더 매매정보",041-546-7890,디렉터리 기반. 대표자/이메일은 추가 확인 필요.,2026-04-29
44,원본CSV,86,현대중장비매매상사,jigecha.kr,,https://jigecha.kr/kwa-info_site_v-119?PB_1484124041=28&pc=p,http://jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,중고지게차매매 > 지게차코리아,Y,264,28,requests+BeautifulSoup 가능,https://jigecha.kr/kwa-info_site_v-119?PB_1484124041=28&pc=p [200] || http://jigecha.kr/kwa-sell_jigecha [200] || http://jigecha.kr/kwa-sell_new [200] || http://jigecha.kr/kwa-sell_new?category_1=C [200] || http://jigecha.kr/kwa-sell_new?category_1=D [200] || http://jigecha.kr/kwa-parts?category_1=I [200] || http://jigecha.kr/move_url.php?bd=info_site&idx=58 [200] || http://jigecha.kr/kwa-sell_new?category_1=E [200],C,중장비 매매,061-724-5885,동명 업체가 충남 아산에도 검색되어 별도 행으로 분리.,2026-04-29
45,원본CSV,1,태양중기매매상사,ty-heavyequipment.com,https://ty-heavyequipment.com/회사소개/,https://ty-heavyequipment.com/회사소개/,https://ty-heavyequipment.com/taeyang_product_list/?cat1=18,1522,페이지 표시 총건수: 총 1522 건,HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=UTF-8,전체매물 보기 – 중장비매매 태양중기매매상사,Y,102,48,query_params=cat1=18 | requests+BeautifulSoup 가능,https://ty-heavyequipment.com/회사소개/ [200] || https://ty-heavyequipment.com/taeyang_product_list/ [200] || https://ty-heavyequipment.com/taeyang_product_list/?cat1=84&cat2=85 [200] || https://ty-heavyequipment.com/user-products/?user_id=75 [200] || https://ty-heavyequipment.com/user-products/?user_id=77 [200] || https://ty-heavyequipment.com/taeyang_product_list/?cat1=18 [200] || https://ty-heavyequipment.com/taeyang_product_list/?cat1=18&cat2=27 [200] || https://ty-heavyequipment.com/taeyang_product_list/?cat1=18&cat2=28 [200],A,건설기계/중장비 매매·서비스,1566-1329,회사소개·푸터의 업체명/대표자/연락처/이메일/사업자번호 확인.,2026-04-29
46,원본CSV,3,서울중기매매상사,2963566.com,https://www.2963566.com/,https://www.2963566.com/bbs/page.php?hid=intro,https://www.2963566.com/bbs/board.php?bo_table=m20011,179,페이지 표시 총건수: 총 게시물 179건,HTML 응답(스크립트 단서 있음),초기 HTML에 매물/목록 포함 + ajax/api 문자열 존재,200,text/html; charset=utf-8,추레라 1 페이지 > 서울중기매매상사,Y,4,50,query_params=bo_table=m20011 | bo_table | requests+BeautifulSoup 가능,https://www.2963566.com/ [200] || https://www.2963566.com/bbs/page.php?hid=intro [200] || https://www.2963566.com/bbs/board.php?bo_table=m100010 [200] || https://www.2963566.com/bbs/board.php?bo_table=m20011 [200] || https://www.2963566.com/bbs/board.php?bo_table=m30006 [200] || https://www.2963566.com/bbs/board.php?bo_table=m50001 [200] || https://www.2963566.com/bbs/board.php?bo_table=m60001 [200] || https://www.2963566.com/bbs/board.php?bo_table=m7000 [200] || https://www.2963566.com/bbs/board.php?bo_table=m8000 [200],A,건설기계/중장비 매매,"010-5296-3566, 010-2600-3566",공식 사이트의 회사소개/하단 정보 기준. 대표자명이 페이지별로 달라 병기.,2026-04-29
